-2.36282	-0.601151	0.0782338	
6.02511	1.49293	-0.666197	
-1.25311	-3.20038	3.37487	
-2.97362	1.97075	-0.0195648	
-1.74294	-2.59788	-0.0225578	
-2.60217	3.27746	-1.36475	
-2.35654	-4.39625	2.51495	
-3.07821	1.60454	0.25829	
2.12595	-1.35709	4.77717	
5.00295	0.693025	-1.29598	
-4.96716	-0.435369	-0.0802922	
4.24625	-2.50854	-0.936649	
-2.65544	-0.524782	-2.61169	
-2.11874	-2.24814	-0.916195	
-2.1221	-2.97331	0.0514778	
3.44697	-1.0477	-0.0669797	
-2.43896	-2.62858	-0.576534	
0.801715	-0.576029	2.09743	
7.85937	2.03097	-3.40528	
-2.26305	-0.725293	-0.320526	
-3.02568	2.58438	-1.48788	
-2.59415	0.509255	-2.48898	
5.61585	1.05734	0.789147	
4.14843	2.58779	2.35205	
-0.664443	-0.269375	1.35472	
3.51997	5.46995	-2.22297	
-0.664443	-0.269375	1.35472	
-4.44483	0.0176032	-2.4403	
-2.77334	-0.832109	-3.29002	
5.16986	-2.10847	2.38015	
-3.42532	-1.18788	-1.51647	
-3.55206	0.685588	-0.918389	
-5.07812	-3.17951	-0.94828	
-0.133577	0.346844	-1.66605	
-3.56947	3.35627	-3.10683	
-1.23076	-0.0470573	-2.23539	
2.95207	-1.03625	-1.31892	
0.381983	-2.42942	1.77901	
-4.87937	-0.697446	0.0151043	
-1.17616	-0.198992	-0.941529	
-1.81749	-2.06999	-0.854113	
-3.53054	-1.91752	-4.47533	
-2.00621	-0.337873	-4.1804	
3.49984	1.38764	2.94506	
-0.849324	1.51197	-1.53265	
3.44205	0.0535548	6.32116	
-1.67264	-0.111333	-0.490575	
-3.21232	-0.759282	-2.88542	
-3.10649	-1.25473	-1.79099	
-3.43016	-2.26912	-4.42478	
0.720873	-2.02539	1.31513	
-3.55215	-4.00603	1.77952	
-6.02195	1.99689	-4.99745	
-0.0148608	0.582878	-0.415748	
-0.134176	-3.18549	2.5471	
0.729047	-3.45821	1.86339	
-5.18492	-0.0934916	-0.713713	
-2.81483	-2.54366	-2.26576	
-3.30653	-2.54649	-3.15122	
2.13549	-3.74687	0.183051	
-0.0518631	0.625909	-1.64064	
-2.89659	-0.430457	-5.50082	
1.57274	-1.62257	-0.664633	
-2.03862	-4.38103	-1.43921	
-0.0148608	0.582878	-0.415748	
6.88393	1.51807	0.632674	
0.581684	0.106801	2.32411	
3.0453	-1.2987	5.58675	
2.69949	4.0265	-1.86795	
1.06635	6.20334	-2.79887	
-1.98971	-1.22842	-1.26447	
-2.57991	-1.18175	0.655862	
-0.89877	0.1538	-1.79353	
-1.52183	-1.61843	-1.68574	
-2.24442	-3.40861	-1.24933	
-3.1372	-1.1909	-1.81286	
-0.913107	0.266787	1.01614	
6.76212	1.79673	-2.3508	
0.142854	0.724931	-0.963947	
-5.18073	-2.56647	-0.444002	
-5.44867	-2.01811	-1.45838	
-6.38915	-0.31564	-1.1486	
-4.53746	3.05087	0.339918	
-2.65646	-1.89049	-0.254618	
-4.39208	-0.426876	-6.56332	
-0.39313	0.263926	0.70936	
-3.83841	-2.0676	-1.50307	
-1.59665	-0.254653	-0.770585	
